beta,B,Df,phi,gamma,P,C,Q_ult
20,1.5,1,15,19,75,7.5,180.321
20,1.5,1.5,15,19,75,7.5,208.109
20,1.5,0.5,15,19,100,7.5,108.41
20,1.5,1,15,19,100,7.5,180.493
20,1.5,1.5,15,19,100,7.5,208.541
20,2,0.5,15,19,50,7.5,199.982
20,2,1,15,19,50,7.5,221.432
20,2,1.5,15,19,50,7.5,260.572
20,2,2,15,19,50,7.5,305.192
20,2,0.5,15,19,75,7.5,200.871
20,2,1,15,19,75,7.5,222.131
20,2,1.5,15,19,75,7.5,255.258
20,2,2,15,19,75,7.5,305.441
20,2,0.5,15,19,100,7.5,200.972
20,2,1,15,19,100,7.5,221.526
20,2,1.5,15,19,100,7.5,259.447
20,2,2,15,19,100,7.5,307.114
20,0.5,0.5,20,19,50,7.5,52.244
20,0.5,0.5,20,19,75,7.5,70.71
20,0.5,0.5,20,19,100,7.5,87.413
20,1,0.5,20,19,50,7.5,136.185
20,1,1,20,19,50,7.5,172.76
20,1,0.5,20,19,75,7.5,136.788
20,1,1,20,19,75,7.5,172.931
20,1,0.5,20,19,100,7.5,137.122
20,1,1,20,19,100,7.5,173.547
20,1.5,0.5,20,19,50,7.5,229.766
20,1.5,1,20,19,50,7.5,296.327
20,1.5,1.5,20,19,50,7.5,350.775
20,1.5,0.5,20,19,75,7.5,229.104
20,1.5,1,20,19,75,7.5,296.894
20,1.5,1.5,20,19,75,7.5,350.782
20,1.5,0.5,20,19,100,7.5,229.626
20,1.5,1,20,19,100,7.5,296.98
20,1.5,1.5,20,19,100,7.5,350.955
20,2,0.5,20,19,50,7.5,314.413
20,2,1,20,19,50,7.5,383.115
20,2,1.5,20,19,50,7.5,441.892
20,2,2,20,19,50,7.5,520.13
20,2,0.5,20,19,75,7.5,314.938
20,2,1,20,19,75,7.5,383.702
20,2,1.5,20,19,75,7.5,442.014
20,2,2,20,19,75,7.5,520.831
20,2,0.5,20,19,100,7.5,316.573
20,2,1,20,19,100,7.5,382.831
20,2,1.5,20,19,100,7.5,441.976
20,2,2,20,19,100,7.5,519.692
20,0.5,0.5,25,19,50,7.5,53.309
