beta,B,Df,phi,gamma,P,Q_ult
20,1.0,0.5,10,21,50,49.803
20,1.0,1.0,10,21,50,51.723
20,1.0,0.5,10,21,75,64.559
20,1.0,1.0,10,21,75,69.101
20,1.0,0.5,10,21,100,86.078
20,1.0,1.0,10,21,100,86.078
20,1.5,0.5,10,21,50,51.995
20,1.5,1.0,10,21,50,53.117
20,1.5,1.5,10,21,50,53.695
20,1.5,0.5,10,21,75,68.912
20,1.5,1.0,10,21,75,72.694
20,1.5,1.5,10,21,75,75.496
20,1.5,0.5,10,21,100,90.078
20,1.5,1.0,10,21,100,90.86
20,1.5,1.5,10,21,100,94.288
20,2.0,0.5,10,21,50,95.54
20,2.0,1.0,10,21,50,118.053
20,2.0,1.5,10,21,50,131.496
20,2.0,2.0,10,21,50,183.993
20,2.0,0.5,10,21,75,96.676
20,2.0,1.0,10,21,75,118.235
20,2.0,1.5,10,21,75,131.578
20,2.0,2.0,10,21,75,185.453
20,2.0,0.5,10,21,100,96.998
20,2.0,1.0,10,21,100,118.455
20,2.0,1.5,10,21,100,133.122
20,2.0,2.0,10,21,100,198.256
20,0.5,0.5,15,21,50,49.864
20,0.5,0.5,15,21,75,65.176
20,0.5,0.5,15,21,100,86.276
20,1.0,0.5,15,21,50,85.103
20,1.0,1.0,15,21,50,110.12
20,1.0,0.5,15,21,75,85.245
20,1.0,1.0,15,21,75,110.707
20,1.0,0.5,15,21,100,92.557
20,1.0,1.0,15,21,100,111.604
20,1.5,0.5,15,21,50,106.665
20,1.5,1.0,15,21,50,181.129
20,1.5,1.5,15,21,50,209.053
20,1.5,0.5,15,21,75,106.745
20,1.5,1.0,15,21,75,181.346
20,1.5,1.5,15,21,75,209.55
20,1.5,0.5,15,21,100,109.832
20,1.5,1.0,15,21,100,181.566
20,1.5,1.5,15,21,100,209.656
20,2.0,0.5,15,21,50,200.025
20,2.0,1.0,15,21,50,226.881
20,2.0,1.5,15,21,50,262.191
20,2.0,2.0,15,21,50,310.686
20,2.0,0.5,15,21,75,201.538
20,2.0,1.0,15,21,75,226.931
20,2.0,1.5,15,21,75,262.502
20,2.0,2.0,15,21,75,310.833
20,2.0,0.5,15,21,100,201.867
20,2.0,1.0,15,21,100,226.982
20,2.0,1.5,15,21,100,262.784
20,2.0,2.0,15,21,100,311.357
20,0.5,0.5,20,21,50,53.433
20,0.5,0.5,20,21,75,71.459
20,0.5,0.5,20,21,100,88.261
20,1.0,0.5,20,21,50,137.103
20,1.0,1.0,20,21,50,178.512
20,1.0,0.5,20,21,75,137.248
20,1.0,1.0,20,21,75,178.915
20,1.0,0.5,20,21,100,137.383
20,1.0,1.0,20,21,100,178.76
20,1.5,0.5,20,21,50,237.425
20,1.5,1.0,20,21,50,301.299
20,1.5,1.5,20,21,50,364.246
20,1.5,0.5,20,21,75,237.474
20,1.5,1.0,20,21,75,301.505
20,1.5,1.5,20,21,75,364.925
20,1.5,0.5,20,21,100,237.569
20,1.5,1.0,20,21,100,301.872
20,1.5,1.5,20,21,100,365.103
20,2.0,0.5,20,21,50,325.582
20,2.0,1.0,20,21,50,395.308
20,2.0,1.5,20,21,50,459.89
20,2.0,2.0,20,21,50,542.361
20,2.0,0.5,20,21,75,325.719
20,2.0,1.0,20,21,75,395.734
20,2.0,1.5,20,21,75,460.436
20,2.0,2.0,20,21,75,542.565
20,2.0,0.5,20,21,100,325.889
20,2.0,1.0,20,21,100,395.715
20,2.0,1.5,20,21,100,460.242
20,2.0,2.0,20,21,100,542.688
20,0.5,0.5,25,21,50,59.914
20,0.5,0.5,25,21,75,74.436
20,0.5,0.5,25,21,100,95.681
20,1.0,0.5,25,21,50,158.437
20,1.0,1.0,25,21,50,219.295
20,1.0,0.5,25,21,75,158.448
20,1.0,1.0,25,21,75,219.76
20,1.0,0.5,25,21,100,158.782
20,1.0,1.0,25,21,100,219.827
20,1.5,0.5,25,21,50,283.232
20,1.5,1.0,25,21,50,373.564
20,1.5,1.5,25,21,50,479.338
20,1.5,0.5,25,21,75,283.586
20,1.5,1.0,25,21,75,373.731
20,1.5,1.5,25,21,75,479.282
20,1.5,0.5,25,21,100,283.877
20,1.5,1.0,25,21,100,373.597
20,1.5,1.5,25,21,100,479.749
20,2.0,0.5,25,21,50,510.648
20,2.0,1.0,25,21,50,624.122
20,2.0,0.5,25,21,75,510.676
20,2.0,1.0,25,21,75,624.527
20,2.0,0.5,25,21,100,506.879
20,2.0,1.0,25,21,100,624.736
30,0.5,0.5,10,17,50,43.039
30,0.5,0.5,10,17,75,64.559
30,0.5,0.5,10,17,100,86.078
30,1.0,0.5,10,17,50,43.039
30,1.0,1.0,10,17,50,43.039
30,1.0,0.5,10,17,75,64.56
30,1.0,1.0,10,17,75,64.559
30,1.0,0.5,10,17,100,86.078
30,1.0,1.0,10,17,100,86.078
30,1.5,0.5,10,17,50,43.039
30,1.5,1.0,10,17,50,43.039
30,1.5,1.5,10,17,50,43.039
30,1.5,0.5,10,17,75,64.559
30,1.5,1.0,10,17,75,64.559
30,1.5,1.5,10,17,75,64.559
30,1.5,0.5,10,17,100,86.078
30,1.5,1.0,10,17,100,86.078
30,1.5,1.5,10,17,100,86.078
30,2.0,0.5,10,17,50,43.039
30,2.0,1.0,10,17,50,44.44
30,2.0,1.5,10,17,50,48.242
30,2.0,2.0,10,17,50,51.975
30,2.0,0.5,10,17,75,64.559
30,2.0,1.0,10,17,75,64.559
30,2.0,1.5,10,17,75,64.559
30,2.0,2.0,10,17,75,64.559
30,2.0,0.5,10,17,100,86.078
30,2.0,1.0,10,17,100,86.078
30,2.0,1.5,10,17,100,86.078
30,2.0,2.0,10,17,100,86.078
30,0.5,0.5,15,17,50,45.47
30,0.5,0.5,15,17,75,64.559
30,0.5,0.5,15,17,100,86.078
30,1.0,0.5,15,17,50,51.732
30,1.0,1.0,15,17,50,52.51
30,1.0,0.5,15,17,75,64.559
30,1.0,1.0,15,17,75,68.683
30,1.0,0.5,15,17,100,86.078
30,1.0,1.0,15,17,100,86.078
30,1.5,0.5,15,17,50,52.161
30,1.5,1.0,15,17,50,54.547
30,1.5,1.5,15,17,50,61.71
30,1.5,0.5,15,17,75,72.415
30,1.5,1.0,15,17,75,74.171
30,1.5,1.5,15,17,75,76.999
30,1.5,0.5,15,17,100,86.078
30,1.5,1.0,15,17,100,87.153
30,1.5,1.5,15,17,100,97.304
30,2.0,0.5,15,17,50,102.165
30,2.0,1.0,15,17,50,115.284
30,2.0,1.5,15,17,50,138.626
30,2.0,2.0,15,17,50,173.938
30,2.0,0.5,15,17,75,91.3425
30,2.0,1.0,15,17,75,115.284
30,2.0,1.5,15,17,75,138.631
30,2.0,2.0,15,17,75,173.899
30,2.0,0.5,15,17,100,93.769
30,2.0,1.0,15,17,100,116.5
30,2.0,1.5,15,17,100,138.607
30,2.0,2.0,15,17,100,173.93
30,0.5,0.5,20,17,50,48.964
30,0.5,0.5,20,17,75,66.683
