beta,B,Df,phi,gamma,P,Q_ult
40,1.0,1.0,25,17,75,73.635
10,1.0,0.5,15,21,100,174.739
20,1.5,0.5,15,19,50,105.53
20,1.5,1.5,25,17,75,410.567
30,2.0,0.5,25,19,50,262.649
10,1.5,1.5,20,19,100,557.488
10,2.0,0.5,10,17,50,194.995
40,2.0,1.5,15,19,50,43.63
40,0.5,0.5,15,19,75,64.559
30,1.5,1.5,20,21,75,200.779
30,1.5,1.0,15,19,50,82.826
20,1.5,1.0,20,21,100,301.872
10,0.5,0.5,20,17,75,72.011
10,1.5,1.5,20,21,100,588.853
40,1.5,0.5,25,21,75,77.81
10,2.0,1.0,20,21,100,632.068
30,1.5,0.5,25,21,100,175.503
30,0.5,0.5,20,17,75,66.683
20,1.5,1.5,20,17,100,341.61
10,1.0,1.0,15,17,75,115.835
30,1.5,0.5,25,17,75,155.986
30,2.0,1.0,20,21,50,204.913
40,2.0,1.5,10,17,50,43.039
30,2.0,1.0,20,19,50,209.898
40,1.0,1.0,25,17,50,54.891
20,2.0,1.5,10,21,100,133.122
40,1.5,0.5,15,17,50,43.039
30,2.0,2.0,15,17,75,173.899
30,1.5,0.5,25,17,100,156.441
10,1.0,1.0,25,19,100,459.873
20,2.0,2.0,15,19,50,305.192
20,1.5,0.5,25,17,75,258.561
30,1.5,0.5,15,17,75,72.415
30,1.0,0.5,10,19,100,86.078
40,1.5,1.0,25,21,50,99.302
30,1.0,0.5,25,17,75,77.193
20,1.5,1.5,10,19,75,72.68
20,2.0,1.5,20,17,75,423.637
20,1.0,0.5,10,19,100,86.078
10,1.5,1.5,20,17,75,518.687
40,1.0,1.0,15,21,100,86.078
40,1.5,0.5,10,17,75,64.559
20,1.0,0.5,25,19,75,157.982
30,2.0,2.0,15,21,100,168.424
20,1.0,0.5,25,21,100,158.782
10,1.5,0.5,10,19,100,96.168
20,1.5,0.5,10,19,75,72.084
20,2.0,0.5,20,21,75,325.719
20,2.0,2.0,20,21,75,542.565
30,1.0,1.0,25,21,75,80.2275
10,1.0,0.5,25,17,75,208.455
30,2.0,2.0,20,21,75,324.787
40,2.0,0.5,25,21,75,119.739
30,0.5,0.5,10,19,50,43.039
20,1.0,0.5,25,19,50,163.575
40,0.5,0.5,15,17,50,43.039
40,1.0,1.0,15,17,75,64.559
40,1.0,1.0,15,17,50,43.039
10,1.5,1.5,10,17,50,67.345
20,1.5,0.5,25,17,100,258.672
30,0.5,0.5,10,21,75,64.559
20,1.0,1.0,15,21,75,110.707
10,1.5,0.5,15,17,75,220.253
10,1.0,1.0,20,19,100,310.329
20,1.5,1.5,10,19,50,52.556
20,2.0,1.0,15,21,100,226.982
10,1.5,0.5,20,21,75,367.379
30,1.0,1.0,20,21,75,78.16
20,2.0,2.0,10,19,50,183.774
30,2.0,1.0,15,17,100,116.5
20,2.0,2.0,10,21,75,185.453
40,1.5,0.5,15,21,50,43.039
30,1.5,1.5,15,17,50,61.71
30,2.0,0.5,15,17,100,93.769
40,2.0,1.0,15,19,100,86.078
40,1.0,0.5,25,21,50,55.752
10,0.5,0.5,20,19,50,55.588
40,1.0,0.5,15,17,100,86.078
10,0.5,0.5,20,21,100,92.897
30,2.0,2.0,25,21,50,537.116
20,1.5,1.5,15,17,75,207.322
40,1.5,1.0,10,17,75,64.559
10,1.5,0.5,10,17,100,94.824
20,2.0,0.5,25,19,75,484.763
20,1.0,0.5,15,17,50,77.66
30,1.5,0.5,10,19,100,86.078
20,2.0,1.5,20,21,100,460.242
40,2.0,2.0,15,19,75,65.7375
30,1.5,1.5,15,21,75,93.991
30,1.5,0.5,25,19,75,173.824
10,2.0,1.0,10,21,100,256.183
10,2.0,0.5,20,19,75,464.211
40,1.5,1.0,20,21,50,77.05
10,0.5,0.5,10,19,50,47.279
30,2.0,1.0,20,19,75,209.068
30,1.0,1.0,10,19,50,43.039
20,0.5,0.5,10,21,100,86.078
30,1.0,1.0,10,19,100,86.078
10,2.0,0.5,10,17,75,195.089
20,1.0,0.5,20,17,75,133.5675
30,1.5,1.0,25,17,50,249.106
40,2.0,1.5,20,17,50,151.847
40,2.0,2.0,25,19,75,361.129
20,0.5,0.5,25,21,100,95.681
40,1.5,1.5,25,17,100,173.266
20,2.0,1.0,15,17,50,220.893
20,2.0,0.5,10,19,100,95.707
30,1.0,0.5,15,21,75,64.559
10,2.0,0.5,10,21,75,206.02
10,1.0,1.0,10,21,100,92.471
40,2.0,0.5,15,17,50,43.039
40,2.0,2.0,15,17,100,88.65
10,1.5,0.5,25,17,50,461.4673625
40,0.5,0.5,20,21,75,64.559
10,1.0,1.0,20,17,100,212.186
40,2.0,2.0,15,21,100,86.078
10,1.0,0.5,25,21,75,360.481
30,1.0,0.5,20,17,50,53.773
10,0.5,0.5,25,17,75,77.086
20,2.0,2.0,10,19,100,197.343
30,2.0,1.5,15,21,50,140.59
10,2.0,1.5,15,19,75,462.039
10,1.5,0.5,20,17,100,318.797
40,1.5,1.5,15,19,50,43.039
40,2.0,1.5,25,21,100,258.953
30,1.0,1.0,15,19,75,70.525
20,0.5,0.5,20,21,75,71.459
20,1.5,1.5,15,19,50,208.703
30,1.5,1.0,20,17,50,152.757
10,1.0,0.5,25,19,75,293.736
10,1.5,1.0,20,21,100,468.945
30,1.5,1.5,10,21,50,43.039
10,1.5,1.5,15,21,50,377.32
20,2.0,0.5,20,19,75,314.938
40,1.5,1.0,20,21,100,86.078
20,1.5,1.0,15,21,50,181.129
10,2.0,0.5,10,19,50,198.86
30,1.0,1.0,10,17,50,43.039
40,2.0,1.5,20,19,50,151.587
30,2.0,0.5,15,19,50,102.555
30,2.0,1.0,25,17,100,330.022
20,1.5,1.5,25,19,100,447.28
30,0.5,0.5,10,17,50,43.039
30,1.0,1.0,15,21,100,86.078
40,1.5,1.5,25,17,75,172.653
30,2.0,1.5,25,21,100,425.5
10,2.0,1.0,10,19,100,250.166
30,1.0,0.5,15,19,100,86.078
30,1.5,1.0,20,19,100,155.73
10,1.5,1.5,10,19,100,230.831
20,1.0,1.0,20,19,100,173.547
30,1.5,1.5,25,17,100,307.627
40,1.5,0.5,25,17,50,55.838
10,2.0,1.0,15,17,100,375.58
20,2.0,1.5,20,21,75,460.436
30,1.0,0.5,15,19,50,50.066
30,1.5,1.5,20,19,100,201.371
10,2.0,1.5,10,19,50,290.324
30,2.0,1.0,10,17,75,64.559
40,2.0,0.5,20,19,100,86.078
30,1.0,1.0,15,17,75,68.683
10,1.0,1.0,10,19,75,74.612
30,0.5,0.5,10,17,100,86.078
20,2.0,0.5,20,17,50,302.496
10,1.5,1.0,20,21,75,468.938
30,2.0,0.5,10,17,75,64.559
30,1.0,1.0,20,19,75,81.2825
30,1.5,0.5,20,19,50,126.715
40,2.0,2.0,20,19,50,190.427
10,1.5,1.0,15,17,100,288.757
20,2.0,1.5,15,17,100,258.977
40,1.0,0.5,15,19,50,43.039
30,1.0,0.5,10,21,50,43.039
30,2.0,1.5,10,19,50,43.039
10,0.5,0.5,10,21,50,47.473
10,1.0,0.5,10,19,50,53.316
10,1.0,1.0,10,17,50,59.305
20,1.5,1.0,25,21,50,373.564
20,2.0,0.5,15,21,75,201.538
10,2.0,0.5,15,17,75,300.785
10,1.0,1.0,20,21,100,327.527
